@type,css-spec
@name,CSS
@status,completed
@w3c-status,REC
@version,2.1
@references,css21
@copyright,Copyright (C) 2013 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,model,parser,tests,comments

4.1.1,Tokenization,,na,*0.12,no,
4.1.2,Keywords,,na,*0.12,no,
4.1.3,Characters and Case,,na,no,no,
4.1.4,Statements,,na,no,no,
4.1.5,At-rules,,na,no,no,
4.1.6,Blocks,,na,no,no,
4.1.7,Rule Sets,,na,no,no,
4.1.7,Declaration Blocks,,na,no,no,
4.1.7,Selectors,,na,no,no,
4.1.8,Declarations and Properties,,na,no,no,
4.1.9,Comments,,na,no,no,
4.2,Parser Errors,,na,no,no,
4.3.1,Integers,,no,no,no,
4.3.1,Real Numbers,,no,no,no,
4.3.2,Lengths,,no,no,no,
4.3.2,em,,no,no,no,
4.3.2,ex,,no,no,no,
4.3.2,in,,no,no,no,
4.3.2,cm,,no,no,no,
4.3.2,mm,,no,no,no,
4.3.2,pt,,no,no,no,
4.3.2,pc,,no,no,no,
4.3.2,px,,no,no,no,
4.3.3,Percentages,,no,no,no,
4.3.4,url(),,no,no,no,
4.3.5,counter(),,no,no,no,
4.3.6,Colors,,no,no,no,
4.3.6,#RGB,,na,no,no,
4.3.6,#RRGGBB,,na,no,no,
4.3.6,rgb(),,no,no,no,
4.3.6,aqua,,na,no,no,#00ffff
4.3.6,black,,na,no,no,#000000
4.3.6,blue,,na,no,no,#0000ff
4.3.6,fuchsia,,na,no,no,#ff00ff
4.3.6,gray,,na,no,no,#808080
4.3.6,green,,na,no,no,#008000
4.3.6,lime,,na,no,no,#00ff00
4.3.6,maroon,,na,no,no,#800000
4.3.6,navy,,na,no,no,#000080
4.3.6,olive,,na,no,no,#808000
4.3.6,orange,,na,no,no,#ffa500
4.3.6,purple,,na,no,no,#800080
4.3.6,red,,na,no,no,#ff0000
4.3.6,silver,,na,no,no,#c0c0c0
4.3.6,teal,,na,no,no,#008080
4.3.6,white,,na,no,no,#ffffff
4.3.6,yellow,,na,no,no,#ffff00
4.3.7,Strings,,no,no,no,
4.3.8,Unsupported Values,,na,no,no,
4.4,Style Sheet Representation,,na,no,no,
4.4,@charset,,na,no,no,
5.3,Universal Selector,,no,no,no,*
5.4,Type Selectors,,no,no,no,E
5.5,Descendant Selectors,,no,no,no,E F
5.6,Child Selectors,,no,no,no,E > F
5.7,Adjacent Sibling Selectors,,no,no,no,E + F
5.8.1,Attribute Selectors,,no,no,no,[att]
5.8.1,Attribute Selectors,,no,no,no,[att=val]
5.8.1,Attribute Selectors,,no,no,no,[att~=val]
5.8.1,Attribute Selectors,,no,no,no,[att|=val]
5.8.3,Class Selectors,,no,no,no,.classname
5.9,ID Selectors,,no,no,no,#idname
5.11.1,:first-child,,no,no,no,
5.11.2,:link,,no,no,no,
5.11.2,:visited,,no,no,no,
5.11.3,:hover,,no,no,no,
5.11.3,:active,,no,no,no,
5.11.3,:focus,,no,no,no,
5.11.4,:lang(tag),,no,no,no,
5.12.1,:first-line,,no,no,no,
5.12.2,:first-letter,,no,no,no,
5.12.3,:before,,no,no,no,
5.12.3,:after,,no,no,no,
6.1.1,Specified Values,,no,no,no,
6.1.2,Computed Values,,no,no,no,
6.1.3,Used Values,,no,no,no,
6.1.4,Actual Values,,no,no,no,
6.2,Inheritance,,no,no,no,
6.2.1,inherit value,,no,no,no,
6.2,@import,,no,no,no,
6.4.1,Cascading Order,,no,no,no,
6.4.2,!important Rules,,no,no,no,
6.4.3,Selector Specificity,,no,no,no,
7.2.1,@media,,no,no,no,
8.3,margin-top,,no,no,no,
8.3,margin-bottom,,no,no,no,
8.3,margin-right,,no,no,no,
8.3,margin-left,,no,no,no,
8.3,margin,,no,no,no,
8.3.1,Collapsing Margins,,no,no,no,
8.4,padding-top,,no,no,no,
8.4,padding-bottom,,no,no,no,
8.4,padding-right,,no,no,no,
8.4,padding-left,,no,no,no,
8.4,padding,,no,no,no,
8.5.1,border-top-width,,no,no,no,
8.5.1,border-bottom-width,,no,no,no,
8.5.1,border-right-width,,no,no,no,
8.5.1,border-left-width,,no,no,no,
8.5.1,border-width,,no,no,no,
8.5.2,border-top-color,,no,no,no,
8.5.2,border-bottom-color,,no,no,no,
8.5.2,border-right-color,,no,no,no,
8.5.2,border-left-color,,no,no,no,
8.5.2,border-color,,no,no,no,
8.5.3,border-top-style,,no,no,no,
8.5.3,border-bottom-style,,no,no,no,
8.5.3,border-right-style,,no,no,no,
8.5.3,border-left-style,,no,no,no,
8.5.3,border-style,,no,no,no,
8.5.4,border-top,,no,no,no,
8.5.4,border-bottom,,no,no,no,
8.5.4,border-right,,no,no,no,
8.5.4,border-left,,no,no,no,
8.5.4,border,,no,no,no,
9.2.4,display,,no,no,no,
9.2.4,display:inline,,no,no,no,
9.2.4,display:block,,no,no,no,
9.2.4,display:list-item,,no,no,no,
9.2.4,display:inline-block,,no,no,no,
9.2.4,display:table,,no,no,no,
9.2.4,display:inline-table,,no,no,no,
9.2.4,display:table-row-group,,no,no,no,
9.2.4,display:table-header-group,,no,no,no,
9.2.4,display:table-footer-group,,no,no,no,
9.2.4,display:table-row,,no,no,no,
9.2.4,display:table-column-group,,no,no,no,
9.2.4,display:table-column,,no,no,no,
9.2.4,display:table-cell,,no,no,no,
9.2.4,display:table-caption,,no,no,no,
9.2.4,display:none,,no,no,no,
9.3.1,position,,no,no,no,
9.3.2,top,,no,no,no,
9.3.2,right,,no,no,no,
9.3.2,bottom,,no,no,no,
9.3.2,left,,no,no,no,
9.5.1,float,,no,no,no,
9.5.2,clear,,no,no,no,
9.9.1,z-index,,no,no,no,
9.10,direction,,no,no,no,
9.10,unicode-bidi,,no,no,no,
10.2,width,,no,no,no,
10.4,min-width,,no,no,no,
10.4,max-width,,no,no,no,
10.5,height,,no,no,no,
10.8.1,line-height,,no,no,no,
10.8.1,vertical-align,,no,no,no,
11.1.1,overflow,,no,no,no,
11.1.1,clip,,no,no,no,
11.2,visibility,,no,no,no,
12.2,content,,no,no,no,
12.3.1,quotes,,no,no,no,
12.4,counter-reset,,no,no,no,
12.4,counter-increment,,no,no,no,
12.5.1,list-style-type,,no,no,no,
12.5.1,disc,,no,no,no,
12.5.1,circle,,no,no,no,
12.5.1,square,,no,no,no,
12.5.1,decimal,,no,no,no,
12.5.1,decimal-leading-zero,,no,no,no,
12.5.1,lower-roman,,no,no,no,
12.5.1,upper-roman,,no,no,no,
12.5.1,lower-greek,,no,no,no,
12.5.1,lower-latin,,no,no,no,
12.5.1,upper-latin,,no,no,no,
12.5.1,armenian,,no,no,no,
12.5.1,georgian,,no,no,no,
12.5.1,lower-alpha,,no,no,no,
12.5.1,upper-alpha,,no,no,no,
12.5.1,none,,no,no,no,
12.5.1,list-style-image,,no,no,no,
12.5.1,list-style-position,,no,no,no,
12.5.1,list-style,,no,no,no,
13.2,@page,,no,no,no,
13.3.1,page-break-before,,no,no,no,
13.3.1,page-break-after,,no,no,no,
13.3.1,page-break-inside,,no,no,no,
13.3.2,orphans,,no,no,no,
13.3.2,widows,,no,no,no,
14.1,color,,no,no,no,
14.2.1,background-color,,no,no,no,
14.2.1,background-image,,no,no,no,
14.2.1,background-repeat,,no,no,no,
14.2.1,background-attachment,,no,no,no,
14.2.1,background-position,,no,no,no,
14.2.1,background,,no,no,no,
15.3,font-family,,no,no,no,
15.4,font-style,,no,no,no,
