@type,css-index
@name,CSS
@version,3.0
@categories,value atrule property function
@references,css21 css3counterstyles css3fonts css3units
@copyright,Copyright (C) 2013 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# item,url,implemented,spec

[Specifications]

Specification,css21.csv,rec,CSS Level 2 Revision 1
Specification,css3units.csv,cr,Values and Units Level 3
Specification,css3fonts.csv,wd,Fonts Level 3
Specification,css3counterstyles.csv,wd,Counter Styles Level 3

[Syntax]

At-rules,css21.csv,no,CSS Level 2 Revision 1
Blocks,css21.csv,no,CSS Level 2 Revision 1
Characters and Case,css21.csv,no,CSS Level 2 Revision 1
Colors,css21.csv,no,CSS Level 2 Revision 1
Comments,css21.csv,no,CSS Level 2 Revision 1
Declaration Blocks,css21.csv,no,CSS Level 2 Revision 1
Declarations and Properties,css21.csv,no,CSS Level 2 Revision 1
Integer,css3units.csv,*0.12,Values and Units Level 3
Keyword,css3units.csv,*0.12,Values and Units Level 3
Number,css3units.csv,*0.11,Values and Units Level 3
Percentage,css3units.csv,no,Values and Units Level 3
Rule Sets,css21.csv,no,CSS Level 2 Revision 1
Selectors,css21.csv,no,CSS Level 2 Revision 1
Statements,css21.csv,no,CSS Level 2 Revision 1
String,css3units.csv,*0.12,Values and Units Level 3
Tokenization,css21.csv,*0.12,CSS Level 2 Revision 1

[Units]

ch,css3units.csv,no,Values and Units Level 3
cm,css3units.csv,*0.11,Values and Units Level 3
deg,css3units.csv,no,Values and Units Level 3
dpcm,css3units.csv,no,Values and Units Level 3
dpi,css3units.csv,no,Values and Units Level 3
dppx,css3units.csv,no,Values and Units Level 3
em,css3units.csv,no,Values and Units Level 3
ex,css3units.csv,no,Values and Units Level 3
grad,css3units.csv,no,Values and Units Level 3
Hz,css3units.csv,no,Values and Units Level 3
in,css3units.csv,*0.11,Values and Units Level 3
kHz,css3units.csv,no,Values and Units Level 3
mm,css3units.csv,*0.11,Values and Units Level 3
ms,css3units.csv,no,Values and Units Level 3
pc,css3units.csv,*0.11,Values and Units Level 3
pt,css3units.csv,*0.11,Values and Units Level 3
px,css3units.csv,*0.11,Values and Units Level 3
rad,css3units.csv,no,Values and Units Level 3
rem,css3units.csv,no,Values and Units Level 3
s,css3units.csv,no,Values and Units Level 3
turn,css3units.csv,no,Values and Units Level 3
vh,css3units.csv,no,Values and Units Level 3
vmax,css3units.csv,no,Values and Units Level 3
vmin,css3units.csv,no,Values and Units Level 3
vw,css3units.csv,no,Values and Units Level 3

[Cascading and Inheritance]

Actual Values,css21.csv,no,CSS Level 2 Revision 1
Computed Values,css21.csv,no,CSS Level 2 Revision 1
inherit value,css21.csv,no,CSS Level 2 Revision 1
Inheritance,css21.csv,no,CSS Level 2 Revision 1
Specified Values,css21.csv,no,CSS Level 2 Revision 1
Used Values,css21.csv,no,CSS Level 2 Revision 1
Cascading Order,css21.csv,no,CSS Level 2 Revision 1
!important Rules,css21.csv,no,CSS Level 2 Revision 1
Selector Specificity,css21.csv,no,CSS Level 2 Revision 1

[At Rules]

\@charset,css21.csv,no,CSS Level 2 Revision 1
\@counter-style,css3counterstyles.csv,*0.11,Counter Styles Level 3
\@font-face,css3fonts.csv,no,Fonts Level 3
\@font-feature-values,css3fonts.csv,no,Fonts Level 3
\@import,css21.csv,no,CSS Level 2 Revision 1
\@media,css21.csv,no,CSS Level 2 Revision 1
\@page,css21.csv,no,CSS Level 2 Revision 1

[Properties]

additive-symbols,css3counterstyles.csv,*0.12,Counter Styles Level 3
azimuth,css21.csv,no,CSS Level 2 Revision 1
background,css21.csv,no,CSS Level 2 Revision 1
