@type,css-spec
@name,CSS Values and Units
@parent,css
@version,3.0
@references,css3units
@copyright,Copyright (C) 2013 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,model,parsing,tests,comments

3.1,Pre-defined Keywords,,na,*0.12,no,
3.2,Quoted Strings,,0.11,*0.12,no,
3.3,url(),,no,no,no,
4.1,Integers,,0.11,*0.12,no,
4.2,Numbers,,0.11,no,no,
4.3,Percentages,,no,no,no,
5,Lengths,,no,no,no,
5.1.1,em,,no,no,no,
5.1.1,ex,,no,no,no,
5.1.1,ch,,no,no,no,
5.1.1,rem,,no,no,no,
5.1.2,vw,,no,no,no,
5.1.2,vh,,no,no,no,
5.1.2,vmin,,no,no,no,
5.1.2,vmax,,no,no,no,
5.2,cm,,0.11,no,0.11,
5.2,mm,,0.11,no,0.11,
5.2,in,,0.11,no,0.11,
5.2,pt,,0.11,no,0.11,
5.2,pc,,0.11,no,0.11,
5.2,px,,0.11,no,0.11,
6.1,Angles,,no,no,no,
6.1,deg,,no,no,no,
6.1,grad,,no,no,no,
6.1,rad,,no,no,no,
6.1,turn,,no,no,no,
6.2,Times,,no,no,no,
6.2,s,,no,no,no,
6.2,ms,,no,no,no,
6.3,Frequencies,,no,no,no,
6.3,Hz,,no,no,no,
6.3,kHz,,no,no,no,
6.4,Resolutions,,no,no,no,
6.4,dpi,,no,no,no,
6.4,dpcm,,no,no,no,
6.4,dppx,,no,no,no,
7.1,Colors,,no,no,no,Defined in the CSS3 Color specification.
7.2,Images,,no,no,no,Defined in the CSS3 Images specification.
7.3,Positions,,no,no,no,Defined in the CSS3 Backgrounds and Borders specification.
8.1,calc(),,no,no,no,
8.2,toggle(),,no,no,no,
8.3,attr(),,no,no,no,
