@type,format
@name,Document
@version,
@references,
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# title,url,implemented,tts,rdf,toc,comments

# DocBook
# email -- rfc/mime
# ePub
HTML,4.0-5.0,html.csv,*0.1,*0.1,*0.1,no,
# MathML
# ODF/text
# PDF
Plain Text,,,0.1,0.1,na,na,
RDF/XML,2004/02/10,rdfxml.csv,0.1,na,0.1,na,
RSS,1.0,rss.csv,*0.1,no,0.1,na,
# RTF
# SKOS+RDF
# SMIL
SSML,1.0-1.1,ssml.csv,*0.4,*0.4,0.4,na,
# TeX / LaTeX
# troff / mandoc (man pages)
XHTML,1.0,html.csv,*0.1,*0.1,*0.1,no,
XML,1.0-1.1,xml.csv,*0.1,na,na,na,Used by XML/HTML document handlers.
