@type,spec
@name,HTML
@version,2011/12/16
@references,html-whatwg
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

4.1.1,html,,0.1,0.1,
4.1.1,html/@lang,,0.1,0.1,metadata (dc:language)
4.1.1,html/@xml:lang,,0.1,0.1,metadata (dc:language)
4.2.1,head,,0.1,0.1,
4.2.2,title,,0.1,0.1,including metadata (dc:title)
4.2.3,base,,no,no,
4.2.4,link,,no,no,
4.2.5,meta,,no,no,
4.2.6,style,,0.1,0.1,
4.3.1,script,,0.1,0.1,
4.3.2,noscript,,no,no,
4.4.1,body,,0.1,0.1,
4.4.2,section,,no,no,
4.4.3,nav,,no,no,
4.4.4,article,,no,no,
4.4.5,aside,,no,no,
4.4.6,h1 - h6,,0.1,0.1,
4.4.7,hgroup,,no,no,
4.4.8,header,,no,no,
4.4.9,footer,,no,no,
4.4.10,address,,0.6,0.6,
4.5.1,p,,0.1,0.1,
4.5.2,hr,,no,no,
4.5.3,pre,,0.3,0.3,
4.5.4,blockquote,,no,no,
4.5.5,ol,,0.3,0.3,
4.5.6,ul,,0.3,0.3,
4.5.7,li,,0.3,0.3,
4.5.8,dl,,no,no,
4.5.9,dt,,no,no,
4.5.10,dd,,no,no,
4.5.11,figure,,no,no,
4.5.12,figcaption,,no,no,
4.5.13,div,,0.3,0.3,
4.6.1,a,,no,no,
4.6.2,em,,0.3,0.3,
4.6.3,strong,,0.3,0.3,
4.6.4,small,,no,no,
4.6.5,s,,no,no,
4.6.6,cite,,0.3,0.3,
4.6.7,q,,no,no,
4.6.8,dfn,,0.6,0.6,
4.6.9,abbr,,no,no,
4.6.10,data,,no,no,
4.6.11,time,,no,no,
4.6.12,code,,0.3,0.3,
4.6.13,var,,no,no,
4.6.14,samp,,no,no,
4.6.15,kbd,,no,no,
4.6.16,sub,,0.3,0.3,
4.6.16,sup,,0.3,0.3,
4.6.17,i,,0.3,0.3,
4.6.18,b,,0.3,0.3,
4.6.19,u,,0.6,0.6,
4.6.20,mark,,no,no,
4.6.21,ruby,,no,no,
4.6.22,rt,,no,no,
4.6.23,rp,,no,no,
4.6.24,bdi,,no,no,
4.6.25,bdo,,no,no,
4.6.26,span,,no,no,
4.6.27,br,,no,no,
4.6.28,wbr,,no,no,
4.7.1,ins,,no,no,
4.7.2,del,,no,no,
4.8.1,img,,no,no,
4.8.2,iframe,,no,no,
4.8.3,embed,,no,no,
4.8.4,object,,no,no,
4.8.5,param,,no,no,
4.8.6,video,,no,no,
4.8.7,audio,,no,no,
4.8.8,source,,no,no,
4.8.9,track,,no,no,
4.8.11,canvas,,no,no,
4.8.12,map,,no,no,
4.8.13,area,,no,no,
4.8.15,math,,no,no,Inline MathML
4.8.16,svg,,no,no,Inline SVG
4.9.1,table,,no,no,
4.9.2,caption,,no,no,
4.9.3,colgroup,,no,no,
4.9.4,col,,no,no,
4.9.5,tbody,,no,no,
4.9.6,thead,,no,no,
4.9.7,tfoot,,no,no,
4.9.8,tr,,no,no,
4.9.9,td,,no,no,
4.9.10,th,,no,no,
4.10.3,form,,no,no,
4.10.4,fieldset,,no,no,
4.10.5,legend,,no,no,
4.10.6,label,,no,no,
4.10.7,input,,no,no,
4.10.8,button,,no,no,
4.10.9,select,,no,no,
4.10.10,datalist,,no,no,
4.10.11,optgroup,,no,no,
4.10.12,option,,no,no,
4.10.13,textarea,,no,no,
4.10.14,keygen,,no,no,
4.10.15,output,,no,no,
4.10.16,progress,,no,no,
4.10.17,meter,,no,no,
4.11.1,details,,no,no,
4.11.2,summary,,no,no,
4.11.3,command,,no,no,
4.11.4,menu,,*0.6,*0.6,@label attribute not supported; html4 rendering
5.1.2,@itemscope,,no,no,microdata
5.1.2,@itemprop,,no,no,microdata
5.1.2,time/@datetime,,no,no,microdata
5.1.2,@itemref,,no,no,microdata
5.1.3,@itemtype,,no,no,microdata
5.1.4,@itemid,,no,no,microdata
5.4.1,vCard,,no,no,microdata
5.4.2,vEvent,,no,no,microdata
5.4.3,licensing works,,no,no,microdata
5.5.2 (1),title,,0.1,0.1,microdata
5.5.2 (2),a,,no,no,microdata
5.5.2 (2),area,,no,no,microdata
5.5.2 (2),link,,no,no,microdata
5.5.2 (3),meta,,no,no,microdata
12.1.1,DOCTYPE,,*0.1,*0.1,
12.1.2,Elements,,0.6,*0.6,Missing tests for void/raw text/RCDATA elements.
12.1.2.1,Start Tags,,0.1,0.1,
12.1.2.2,End Tags,,0.1,0.1,
12.1.2.3,XML/XHTML-style Attributes,,0.2,0.2,
12.1.2.3,HTML-style Attributes,,0.6,0.6,
12.1.2.4,Optional Tags,,no,no,
12.1.2.5,Restrictions on Content Models,,no,no,
12.1.2.6,Restrictions on raw text/RCDATA,,no,no,
12.1.3,Text,,*0.1,*0.1,NULL characters are not removed
12.1.3.1,Newlines,,*0.1,*0.1,treated as whitespace
12.1.4,Character References,,0.1,0.1,
12.1.5,CDATA Sections,,0.1,0.1,
12.1.6,Comments,,0.1,0.1,
12.5,named character references,,0.1,0.1,
15.3.1,applet,,no,no,
15.3.2,marquee,,no,no,
