@type,spec
@name,HTML
@version,4.0-4.01
@references,html40 html401
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

7.3,html,,0.1,0.1,
7.3,html/@lang,,0.1,0.1,metadata (dc:language)
7.3,html/@xml:lang,,0.1,0.1,metadata (dc:language)
7.4.1,head,,0.1,0.1,
7.4.2,title,,0.1,0.1,including metadata (dc:title)
7.4.4,meta,,no,no,
7.5.1,body,,0.1,0.1,
7.5.4,div,,0.3,0.3,
7.5.4,span,,no,no,
7.5.5,h1 - h6,,0.1,0.1,
7.5.6,address,,no,no,
9.2.1,em,,0.3,0.3,
9.2.1,strong,,0.3,0.3,
9.2.1,dfn,,no,no,
9.2.1,code,,0.3,0.3,
9.2.1,samp,,no,no,
9.2.1,kbd,,no,no,
9.2.1,var,,no,no,
9.2.1,cite,,0.3,0.3,
9.2.1,abbr,,no,no,
9.2.1,acronym,,no,no,
9.2.2,blockquote,,no,no,
9.2.2,q,,no,no,
9.2.3,sub,,0.3,0.3,
9.2.3,sup,,0.3,0.3,
9.3.1,p,,0.1,0.1,
9.3.2,br,,no,no,
9.3.4,pre,,0.3,0.3,
9.4,ins,,no,no,
9.4,del,,no,no,
10.2,ol,,0.3,0.3,
10.2,ul,,0.3,0.3,
10.2,li,,0.3,0.3,
10.3,dl,,no,no,
10.3,dt,,no,no,
10.3,dd,,no,no,
10.4,dir,,0.6,0.6,
10.4,menu,,no,no,same as ul
11.2.1,table,,no,no,
11.2.2,caption,,no,no,
11.2.3,tbody,,no,no,
11.2.3,thead,,no,no,
11.2.3,tfoot,,no,no,
11.2.4,colgroup,,no,no,
11.2.4,col,,no,no,
11.2.5,tr,,no,no,
11.2.6,th,,no,no,
11.2.6,td,,no,no,
12.2,a,,no,no,
12.3,link,,no,no,
12.4,base,,no,no,
13.2,img,,no,no,
13.3,object,,no,no,
13.3.2,param,,no,no,
13.4,applet,,no,no,
13.6.1,map,,no,no,
13.6.1,area,,no,no,
14.2.3,style,,0.1,0.1,
15.2.1,tt,,0.6,0.6,
15.2.1,i,,0.3,0.3,
15.2.1,b,,0.3,0.3,
15.2.1,big,,no,no,
15.2.1,small,,no,no,
15.2.1,strike,,no,no,
15.2.1,s,,no,no,
15.2.1,u,,0.6,0.6,
15.2.2,font,,no,no,
15.2.2,basefont,,no,no,
15.2.3,hr,,no,no,
16.2.1,frameset,,no,no,
16.2.2,frame,,no,no,
16.2.4.1,noframes,,no,no,
16.2.5,iframe,,no,no,
17.3,form,,no,no,
17.4,input,,no,no,
17.5,button,,no,no,
17.6,select,,no,no,
17.6,optgroup,,no,no,
17.6,option,,no,no,
17.7,textarea,,no,no,
17.8,isindex,,no,no,
17.9.1,label,,no,no,
17.10,fieldset,,no,no,
17.10,legend,,no,no,
18.2.1,script,,0.1,0.1,
18.3.1,noscript,,no,no,
24,named character references,,0.1,0.1,
