@type,spec
@category,metadata
@name,N-Triples
@version,2004/02/10
@references,ntriples2004
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

3,File Extension,,no,no,*.nt
3,MIME Type,,no,no,text/plain
3,Character Encoding,,no,no,7-bit US-ASCII
3.1,Comment,,na,na,# ...
3.1,Triple Form,,0.1,0.1,s p o .
3.1,URI,,0.1,0.1,<uri>
3.1,BNode,,0.1,0.1,_:name
3.1,Simple Literal,,0.1,0.1,"..."
3.1,Language Literal,,0.1,0.1,"..."@lang
3.1,Datatype Literal,,0.1,0.1,"..."^^<uri>
3.2,U+0009,,no,no,\t
3.2,U+000A,,no,no,\n
3.2,U+000D,,no,no,\r
3.2,U+0022,,0.1,0.1,\"
3.2,U+005C,,no,no,\\
3.2,U+0000 - U+001F,,no,no,\uHHHH
3.2,U+007F - U+FFFF,,no,no,the ascii character
3.2,U+0000 - U+FFFF,,no,no,\uHHHH
3.2,U+10000 - U+10FFFF,,no,no,\uHHHHHHHH
