@type,spec
@name,OPF
@version,3.0 (2011/05/23)
@references,opf30-20110523
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

3.4.1,package,,0.1,0.1,
3.4.1,package/@profile,,0.4,0.4,
3.4.1,package/@prefix,,0.4,0.4,
3.4.2,metadata,,0.1,0.1,
3.4.2,metadata/@prefix,,0.4,0.4,
3.4.3,dc:identifier,,0.1,0.1,
3.4.4,dc:title,,0.1,0.1,
3.4.5,dc:language,,0.1,0.1,
3.4.6,dc:contributor,,0.1,0.1,
3.4.6,dc:coverage,,0.1,0.1,
3.4.6,dc:creator,,0.1,0.1,
3.4.6,dc:date,,0.1,0.1,
3.4.6,dc:description,,0.1,0.1,
3.4.6,dc:format,,0.1,0.1,
3.4.6,dc:publisher,,0.1,0.1,
3.4.6,dc:relation,,0.1,0.1,
3.4.6,dc:rights,,0.1,0.1,
3.4.6,dc:source,,0.1,0.1,
3.4.6,dc:subject,,0.1,0.1,
3.4.6,dc:type,,0.1,0.1,
3.4.7,meta/@property,,0.4,0.4,
3.4.7,meta/@id,,0.4,0.4,
3.4.7,meta/@about,,0.4,0.4,
3.4.7,meta/@datatype,,0.4,0.4,
3.4.8,meta/{@name+@content},,0.4,0.4,
3.4.9,link/@rel,,0.4,0.4,
3.4.9,link/@href,,0.4,0.4,
3.4.9,link/@id,,0.4,0.4,
3.4.9,link/@about,,0.4,0.4,
3.4.9,link/@media-type,,0.4,0.4,
3.4.10,manifest,,0.1,0.1,
3.4.11,manifest/item,,0.1,0.1,
3.4.12,spine,,0.1,0.1,
3.4.12,spine/@toc,,0.4,0.4,Navigation Control File
3.4.13,spine/itemref,,0.1,0.1,
3.4.14,guide,,na,na,Deprecated.
3.4.15,bindings,,na,na,Custom content handlers are not supported.
3.4.16,bindings/mediaType,,na,na,Custom content handlers are not supported.
4.2.2,default vocabulary,,0.4,0.4,http://idpf.org/epub/vocab/package/#
4.2.3,dcterms vocabulary,,0.4,0.4,http://purl.org/dc/terms/
4.2.3,marc vocabulary,,no,no,http://id.loc.gov/vocabulary/
4.2.3,media vocabulary,,0.4,0.4,http://www.idpf.org/epub/vocab/overlays/#
4.2.3,onix vocabulary,,no,no,http://www.editeur.org/ONIX/book/codelists/current.html#
4.2.3,xsd vocabulary,,0.4,0.4,http://www.w3.org/2001/XMLSchema#
4.3.2,alternate-script,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#alternate-script
4.3.2,display-seq,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#display-seq
4.3.2,file-as,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#file-as
4.3.2,group-position,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#group-position
4.3.2,identifier-type,,no,no,http://www.idpf.org/epub/vocab/package/#identifier-type
4.3.2,meta-auth,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#meta-auth
4.3.2,role,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#role
4.3.2,title-type,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#title-type
4.3.2,publication-type,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#publication-type
4.3.2,source-identifier,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#source-identifier
4.3.2,scheme,,0.4,0.4,http://www.idpf.org/epub/vocab/package/#scheme
4.3.3,marc21xml-record,,0.4,no,http://www.idpf.org/epub/vocab/package/#marc21xml-record
4.3.3,mods-record,,0.4,no,http://www.idpf.org/epub/vocab/package/#mods-record
4.3.3,onix-record,,0.4,no,http://www.idpf.org/epub/vocab/package/#onix-record
4.3.3,xml-signature,,0.4,no,http://www.idpf.org/epub/vocab/package/#xml-signature
4.3.3,xmp-record,,0.4,no,http://www.idpf.org/epub/vocab/package/#xmp-record
4.3.4,cover-image,,no,no,http://www.idpf.org/epub/vocab/package/#cover-image
4.3.4,mathml,,no,no,http://www.idpf.org/epub/vocab/package/#mathml
4.3.4,nav,,no,no,http://www.idpf.org/epub/vocab/package/#nav
4.3.4,remote-resources,,no,no,http://www.idpf.org/epub/vocab/package/#remote-resources
4.3.4,scripted,,no,no,http://www.idpf.org/epub/vocab/package/#scripted
4.3.4,svg,,no,no,http://www.idpf.org/epub/vocab/package/#svg
4.3.4,switch,,no,no,http://www.idpf.org/epub/vocab/package/#switch
4.3.5,page-spread-left,,no,no,http://www.idpf.org/epub/vocab/package/#page-spread-left
4.3.5,page-spread-right,,no,no,http://www.idpf.org/epub/vocab/package/#page-spread-right
