@type,spec
@name,OPS
@version,3.0
@references,ops30
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

2.1,XHTML Content Documents,html.csv,*0.1,*0.1,XHTML 5.0
2.1.3.1.2,epub:type,,no,no,
2.1.3.2.2,ssml:ph,,no,no,
2.1.3.2.3,ssml:alphabet,,no,no,
2.1.3.3.2.1,epub:switch,,no,no,
2.1.3.3.2.2,epub:case,,no,no,
2.1.3.3.2.3,epub:default,,no,no,
2.1.3.4,epub:trigger,,no,no,
2.2.4.2,nav/@epub:type,,no,no,
2.2.4.2.1,nav/@epub:type="toc",,no,no,NCX replacement
2.2.4.2.2,nav/@epub:type="page-list",,no,no,
2.2.4.2.3,nav/@epub:type="landmarks",,no,no,
2.2.4.3,@hidden,,no,no,
2.3,SVG Content Documents,,no,no,
2.4,Scripted Content Documents,,no,no,
3,EPUB Style Sheets,,no,no,
3.3.1,CSS 2.1,,no,no,
3.3.2,CSS 2.0,,no,no,
3.3.3,CSS 3.0 Speech,,no,no,
3.3.4,CSS Fonts Level 3,,no,no,
3.3.5,CSS Text Level 3,,no,no,
3.3.6,CSS Writing Modes,,no,no,
3.3.7,Media Queries,,no,no,
3.3.8,CSS Namespaces,,no,no,
3.3.9,CSS Multi-Column Layout,,no,no,
3.3.10,Ruby Positioning,,no,no,
3.3.11,oeb-page-head,,no,no,
3.3.11,oeb-page-foot,,no,no,
4,PLS Documents,,no,no,
