@type,spec
@category,metadata
@name,RDF/XML
@version,2004/02/10
@references,rdfxml2004
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

2.2,Node Elements and Property Elements,,no,no,
2.3,Multiple Property Elements,,no,no,
2.4,Empty Property Elements,,no,no,
2.5,Property Attributes,,no,no,
2.6,Document Element and XML Declaration,,no,no,
2.7,@xml:lang,,no,no,
2.8,@rdf:parseType="Literal",,no,no,
2.9,@rdf:datatype,,no,no,
2.10,@rdf:nodeType,,no,no,
2.11,@rdf:parseType="Resource",,no,no,
2.12,Property Attributes on an empty Property Element,,no,no,
2.13,Typed Node Elements,,no,no,
2.14,@rdf:ID and @xml:base,,no,no,
2.15,rdf:li and rdf:_n,,no,no,
2.16,@rdf:parseType="Collection",,no,no,
2.17,Reifying Statements,,na,na,
