@type,spec
@name,RDF/XML
@version,2004/02/10
@references,rdfxml2004
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

2.2,Node Elements and Property Elements,,0.1,0.1,
2.3,Multiple Property Elements,,0.1,0.1,
2.4,Empty Property Elements,,0.1,0.1,
2.5,Property Attributes,,0.1,0.1,
2.6,Document Element and XML Declaration,,0.1,0.1,
2.7,@xml:lang,,0.1,0.1,
2.8,@rdf:parseType="Literal",,no,0.1,
2.9,@rdf:datatype,,0.1,0.1,
2.10,@rdf:nodeType,,0.1,0.1,
2.11,@rdf:parseType="Resource",,0.1,0.1,
2.12,Property Attributes on an empty Property Element,,0.7,0.1,
2.13,Typed Node Elements,,0.1,0.1,
2.14,@rdf:ID and @xml:base,,0.1,0.1,
2.15,rdf:li and rdf:_n,,0.1,0.1,
2.16,@rdf:parseType="Collection",,0.1,0.1,
2.17,Reifying Statements,,na,na,
