@type,spec
@name,RFC
@version,822
@references,rfc822
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

3.1.1,Long Header Fields,,0.2,0.2,
3.1.2,Structure of Header Fields,,0.2,0.2,
3.1.3,Unstructured Field Bodies,,0.2,0.2,
3.1.4,Structured Field Bodies,,no,no,
3.2,Header Field Definitions,,0.2,0.2,
3.3,Lexical Tokens,,no,no,A tokenizer is not currently used.
3.4.1,Quoting,,no,no,
3.4.2,White Space,,no,no,
3.4.3,Comments,,no,no,
3.4.4,Delimiting and Quoting Characters,,no,no,
3.4.5,Quoted-Strings,,no,no,
3.4.6,Bracketing Characters,,no,no,
3.4.7,Case Independence,,no,no,
3.4.8,Folding Long Header Fields,,na,na,For text editors and terminals.
3.4.9,Backspace Characters,,no,no,
4.1,Syntax,,no,no,MIME support is not implemented as a regular grammar.
4.3.1,Return-Path,,no,no,
4.3.1,Received,,no,no,
4.4.1,From,,0.2,0.2,
4.4.1,Resent-From,,no,no,
4.4.2,Sender,,no,no,
4.4.2,Resent-Sender,,no,no,
4.4.3,Reply-To,,no,no,
4.4.3,Resent-Reply-To,,no,no,
4.5.1,To,,no,no,
4.5.1,Resent-To,,no,no,
4.5.2,CC,,no,no,
4.5.2,Resent-CC,,no,no,
4.5.3,BCC,,no,no,
4.5.3,Resent-BCC,,no,no,
4.6.1,Message-ID,,no,no,
4.6.1,Resent-Message-ID,,no,no,
4.6.2,In-Reply-To,,no,no,
4.6.3,References,,no,no,
4.6.4,Keywords,,0.10,0.10,
4.7.1,Subject,,0.2,0.2,
4.7.2,Comments,,no,no,
4.7.3,Encrypted,,no,no,
4.7.4,Extension Field,,no,no,
4.7.5,User Defined Field,,no,no,
5.1,Date and Time Syntax,,no,no,
5.2,Date and Time Semantics,,no,no,
6.1,Address Syntax,,no,no,
6.2,Address Semantics,,no,no,
