@type,spec
@name,RSS
@version,1.0
@references,xml10 xml11 rdfxml rss10
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

5.1,xml,xml.csv,*0.1,no,
5.2,rdf:RDF,rdfxml.csv,*0.1,no,
5.3,channel,,*0.1,no,
5.3.1,title,,*0.1,no,
5.3.2,link,,*0.1,no,
5.3.3,description,,*0.1,no,
5.3.4,image,,*0.1,no,
5.3.5,items,,*0.1,no,
5.3.6,textinput,,*0.1,no,
5.4,image,,*0.1,no,
5.4.1,title,,*0.1,no,
5.4.2,url,,*0.1,no,
5.4.3,link,,*0.1,no,
5.5,item,,*0.1,no,
5.5.1,title,,*0.1,no,
5.5.2,link,,*0.1,no,
5.5.3,description,,*0.1,no,
5.6,textinput,,*0.1,no,
5.6.1,title,,*0.1,no,
5.6.2,description,,*0.1,no,
5.6.3,name,,*0.1,no,
5.6.4,link,,*0.1,no,
