@type,spec
@name,RTF
@version,1.0
@references,rtf10
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

Syntax,Control Word : Letter Sequence [a-z],,0.2,0.2,
Syntax,Control Word : Numeric Parameter,,0.3,*0.2,Missing tests for negative parameters.
Syntax,Control Word : Delimiter : Space,,0.3,0.2,
Syntax,Control Word : Delimiter : Special Characters,,0.2,0.2,
Syntax,Control Word : Delimiter : Other,,0.3,0.2,
Syntax,Control Word : Toggle Property,,0.3,0.2,
Syntax,Control Symbol,,0.3,0.2,
Syntax,Groups,,0.2,0.2,
Syntax,Destinations,,0.2,0.2,
Syntax,Plain Text,,0.2,0.2,,
Syntax,Plain Text : Newline ('\r' / '\n'),,0.3,0.3,Ignored if not preceeded by '\' (as per the special characters section).
Syntax,Escaped Special Characters,,0.3,0.3,
Version,\rtf,,0.2,0.2,
Character Set,\ansi,,0.3,0.3,Code Page 1252
Character Set,\mac,,0.3,no,Code Page ,00
Character Set,\pc,,0.3,no,Code Page 437
Character Set,\pca,,0.3,no,Code Page 850
Font Table,\fonttbl,,*0.3,0.3,group identifier
Font Table,\f,,no,no,
Font Table,\fnil,,no,no,
Font Table,\froman,,no,no,
Font Table,\fswiss,,no,no,
Font Table,\fmodern,,no,no,
Font Table,\fscript,,no,no,
Font Table,\fdecor,,no,no,
Font Table,\ftech,,no,no,
Font Table,\deff,,no,no,
Style Sheet,\stylesheet,,*0.3,0.3,group identifier
Style Sheet,\sbasedon,,no,no,
Style Sheet,\snext,,no,no,
Style Sheet,\keycode,,no,no,
Color Table,\colortbl,,*0.3,0.3,group identifier
Color Table,\red,,no,no,
Color Table,\green,,no,no,
Color Table,\blue,,no,no,
Color Table,\cf,,no,no,
Color Table,\cb,,no,no,
Picture,\pict,,*0.3,no,group identifier
Picture,\macpict,,no,no,
Picture,\pmmetafile,,no,no,
Picture,\wmmetafile,,no,no,
Picture,\dibbitmap,,no,no,
Picture,\wbitmap,,no,no,
Picture,\wbmbitspixel,,no,no,
Picture,\wbmplanes,,no,no,
Picture,\wbmwidthbytes,,no,no,
Picture,\picw,,no,no,
Picture,\pich,,no,no,
Picture,\picwgoal,,no,no,
Picture,\pichgoal,,no,no,
Picture,\picscalex,,no,no,
Picture,\picscaley,,no,no,
Picture,\picscaled,,no,no,
Picture,\piccropt,,no,no,
Picture,\piccropb,,no,no,
Picture,\piccropl,,no,no,
Picture,\piccropr,,no,no,
Picture,\brdrs,,no,no,
Picture,\brdrdb,,no,no,
Picture,\brdrth,,no,no,
Picture,\brdrsh,,no,no,
Picture,\brdrdot,,no,no,
Picture,\brdrhair,,no,no,
Picture,\brdrw,,no,no,
Picture,\brdrcf,,no,no,
Picture,\shading,,no,no,
Picture,\bghoriz,,no,no,
Picture,\bgvert,,no,no,
Picture,\bgfdiag,,no,no,
Picture,\bgbdiag,,no,no,
Picture,\bgcross,,no,no,
Picture,\bgdcross,,no,no,
Picture,\bgdkhoriz,,no,no,
Picture,\bgdkvert,,no,no,
Picture,\bgdkfdiag,,no,no,
Picture,\bgdkbdiag,,no,no,
Picture,\bgdkcross,,no,no,
Picture,\bgdkdcross,,no,no,
Picture,\cfpat,,no,no,
Picture,\cbpat,,no,no,
Picture,\bin,,no,no,
Footnotes,\*\footnote,,*0.3,no,group identifier
Footnotes,\chftn,,no,no,
Annotations,\*\annotation,,*0.3,no,group identifier
Headers And Footers,\header,,*0.3,no,group identifier
Headers And Footers,\headerl,,no,no,
Headers And Footers,\headerr,,no,no,
Headers And Footers,\headerf,,no,no,
Headers And Footers,\footer,,*0.3,no,group identifier
Headers And Footers,\footerl,,no,no,
Headers And Footers,\footerr,,no,no,
Headers And Footers,\footerf,,no,no,
Summary Information,\info,,0.3,0.3,group identifier
Summary Information,\title,,0.3,0.3,dc:title
Summary Information,\subject,,0.3,0.3,dc:description
Summary Information,\author,,0.3,0.3,dc:creator[opf:role='aut']
Summary Information,\operator,,0.3,0.3,dc:contributor[opf:role='edt']
Summary Information,\keywords,,0.3,0.3,dc:subject
Summary Information,\comment,,0.3,0.3,
Summary Information,\version,,no,no,
Summary Information,\doccomm,,no,no,dc:description
Summary Information,\vern,,no,no,
Summary Information,\creattim,,no,no,dc:date[opf:event='creation']
Summary Information,\revtim,,no,no,dc:date[opf:event='modification']
Summary Information,\printim,,no,no,
Summary Information,\buptim,,no,no,
Summary Information,\edmins,,no,no,
Summary Information,\yr,,no,no,
Summary Information,\mo,,no,no,
Summary Information,\dy,,no,no,
Summary Information,\hr,,no,no,
Summary Information,\min,,no,no,
Summary Information,\nofpages,,no,no,
Summary Information,\nofwords,,no,no,
Summary Information,\nofchars,,no,no,
Summary Information,\id,,no,no,
Fields,\field,,*0.3,no,group identifier
Fields,\flddirty,,no,no,
Fields,\fldedit,,no,no,
Fields,\fldlock,,no,no,
Fields,\fldpriv,,no,no,
Fields,\*\fldinst,,no,no,
Fields,\fldrslt,,no,no,
Index Entries,\xe,,*0.3,no,group identifier
Index Entries,\bxe,,no,no,
Index Entries,\ixe,,no,no,
Index Entries,\txe,,no,no,
Index Entries,\rxe,,no,no,
Table Of Contents Entries,\tc,,*0.3,no,group identifier
Table Of Contents Entries,\tcf,,no,no,
Table Of Contents Entries,\tcl,,no,no,
Objects,\object,,*0.3,no,group identifier
Objects,\objemb,,no,no,
Objects,\objlink,,no,no,
Objects,\objautlink,,no,no,
Objects,\objsub,,no,no,
Objects,\objicemb,,no,no,
Objects,\linkself,,no,no,
Objects,\objlock,,no,no,
Objects,\objclass,,no,no,
Objects,\objname,,no,no,
Objects,\objh,,no,no,
Objects,\objw,,no,no,
Objects,\objsetsize,,no,no,
Objects,\objtransy,,no,no,
Objects,\objcropt,,no,no,
Objects,\objcropb,,no,no,
Objects,\objcropl,,no,no,
Objects,\objcropr,,no,no,
Objects,\objscalex,,no,no,
Objects,\objscaley,,no,no,
Objects,\objdata,,no,no,
Objects,\objalias,,no,no,
Objects,\objsect,,no,no,
Objects,\rsltrtf,,no,no,
Objects,\rsltpict,,no,no,
Objects,\rsltbmp,,no,no,
Objects,\rslttxt,,no,no,
Objects,\rsltmerge,,no,no,
Objects,\result,,no,no,
Bookmarks,\*\bkmkstart,,*0.3,no,group identifier
Bookmarks,\*\bkmkend,,*0.3,no,group identifier
MEM Publisher Objects,\pubauto,,no,no,
MEM Publisher Objects,\bkmkpub,,no,no,
MEM Publisher Objects,\objalias,,no,no,
MEM Publisher Objects,\objsect,,no,no,
Document Format Properties,\deftab,,no,no,
Document Format Properties,\hyphhotz,,no,no,
Document Format Properties,\linestart,,no,no,
Document Format Properties,\fracwidth,,no,no,
Document Format Properties,\*\nextfile,,no,no,
Document Format Properties,\*\template,,no,no,
Document Format Properties,\makebackup,,no,no,
Document Format Properties,\defformat,,no,no,
Document Format Properties,\psover,,no,no,
Document Format Properties,\deflang,,no,no,
Footnotes,\ftnsep,,no,no,
Footnotes,\ftnsepc,,no,no,
Footnotes,\ftncn,,no,no,
