@type,spec
@name,SSML
@version,1.0
@references,ssml10
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

2.1,Document Form,,0.4,0.4,
2.3.1,SMIL,,no,no,
2.3.2,Aural CSS,,no,no,
2.3.2,VoiceXML,,no,no,
3.1.1,speak,,0.4,0.4,
3.1.2,@xml:lang,,*0.4,*0.4,root-level metadata only
3.1.3,@xml:base,,no,no,
3.1.4,lexicon,,no,no,
3.1.5,meta,,0.4,0.4,
3.1.6,metadata,,0.4,0.4,
3.1.6,RDF/XML,rdfxml.csv,0.4,0.4,
3.1.7,p,,0.4,0.4,
3.1.7,s,,0.4,0.4,
3.1.8,say-as,,no,no,
3.1.9,phoneme,,no,no,
3.1.10,sub,,no,no,
3.2.1,voice,,no,no,
3.2.2,emphasis,,0.4,0.4,
3.2.3,break,,no,no,
3.2.4,prosody,,no,no,
3.3.1,audio,,no,no,
3.3.2,mark,,no,no,
3.3.3,desc,,no,no,
