@type,spec
@name,SSML
@version,1.1
@references,ssml11 rdfxml2004
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

2.1,Document Form,,0.4,0.4,
2.2.3,XHTML,html.csv,no,no,
2.3.1,SMIL,,no,no,
2.3.2,Aural CSS,,no,no,
2.3.2,VoiceXML,,no,no,
3.1.1,speak,,0.4,0.4,
3.1.1.1,speak/@startmark,,no,no,
3.1.1.1,speak/@endmark,,no,no,
3.1.2,@xml:lang,,*0.4,*0.4,root-level metadata only
3.1.3,@xml:base,,no,no,
3.1.4,@xml:id,,no,no,
3.1.5.1,lexicon,,no,no,
3.1.5.2,lookup,,no,no,
3.1.6,meta,,0.4,0.4,
3.1.7,metadata,,0.4,0.4,
3.1.7,RDF/XML,rdfxml.csv,*0.4,0.4,
3.1.8.1,p,,0.4,0.4,
3.1.8.1,s,,0.4,0.4,
3.1.8.2,token,,no,no,
3.1.8.2,w,,no,no,
3.1.9,say-as,,no,no,
3.1.10,phoneme,,no,no,
3.1.11,sub,,no,no,
3.1.12,lang,,no,no,
3.1.13,@onlangfailure,,no,no,
3.2.1,voice,,no,no,
3.2.2,emphasis,,0.4,0.4,
3.2.3,break,,no,no,
3.2.4,prosody,,no,no,
3.3.1,audio,,no,no,
3.3.2,mark,,no,no,
3.3.3,desc,,no,no,
