# character mnemonics for RFC 1345
# source: http://tools.ietf.org/html/rfc1345
 
 SP     0020    SPACE
 !      0021    EXCLAMATION MARK
 "      0022    QUOTATION MARK
 Nb     0023    NUMBER SIGN
 DO     0024    DOLLAR SIGN
 %      0025    PERCENT SIGN
 &      0026    AMPERSAND
 '      0027    APOSTROPHE
 (      0028    LEFT PARENTHESIS
 )      0029    RIGHT PARENTHESIS
 *      002a    ASTERISK
 +      002b    PLUS SIGN
 ,      002c    COMMA
 -      002d    HYPHEN-MINUS
 .      002e    FULL STOP
 /      002f    SOLIDUS
 0      0030    DIGIT ZERO
 1      0031    DIGIT ONE
 2      0032    DIGIT TWO
 3      0033    DIGIT THREE
 4      0034    DIGIT FOUR
 5      0035    DIGIT FIVE
 6      0036    DIGIT SIX
 7      0037    DIGIT SEVEN
 8      0038    DIGIT EIGHT
 9      0039    DIGIT NINE
 :      003a    COLON
 ;      003b    SEMICOLON
 <      003c    LESS-THAN SIGN
 =      003d    EQUALS SIGN
 >      003e    GREATER-THAN SIGN
 ?      003f    QUESTION MARK
 At     0040    COMMERCIAL AT
 A      0041    LATIN CAPITAL LETTER A
 B      0042    LATIN CAPITAL LETTER B
 C      0043    LATIN CAPITAL LETTER C
 D      0044    LATIN CAPITAL LETTER D
 E      0045    LATIN CAPITAL LETTER E
 F      0046    LATIN CAPITAL LETTER F
 G      0047    LATIN CAPITAL LETTER G
 H      0048    LATIN CAPITAL LETTER H
 I      0049    LATIN CAPITAL LETTER I
 J      004a    LATIN CAPITAL LETTER J
 K      004b    LATIN CAPITAL LETTER K
 L      004c    LATIN CAPITAL LETTER L
 M      004d    LATIN CAPITAL LETTER M
 N      004e    LATIN CAPITAL LETTER N
 O      004f    LATIN CAPITAL LETTER O
 P      0050    LATIN CAPITAL LETTER P
 Q      0051    LATIN CAPITAL LETTER Q
 R      0052    LATIN CAPITAL LETTER R
 S      0053    LATIN CAPITAL LETTER S
 T      0054    LATIN CAPITAL LETTER T
 U      0055    LATIN CAPITAL LETTER U
 V      0056    LATIN CAPITAL LETTER V
 W      0057    LATIN CAPITAL LETTER W
 X      0058    LATIN CAPITAL LETTER X
 Y      0059    LATIN CAPITAL LETTER Y
 Z      005a    LATIN CAPITAL LETTER Z
 <(     005b    LEFT SQUARE BRACKET
 //     005c    REVERSE SOLIDUS
 )>     005d    RIGHT SQUARE BRACKET
 '>     005e    CIRCUMFLEX ACCENT
 _      005f    LOW LINE
 '!     0060    GRAVE ACCENT
 a      0061    LATIN SMALL LETTER A
 b      0062    LATIN SMALL LETTER B
 c      0063    LATIN SMALL LETTER C
 d      0064    LATIN SMALL LETTER D
